condition,algorithm,ae,wur,coverage,cf_transitions
symmetric,immediate,0.4512064053153602,0.3624130478787658,0.7111111111111111,0.0
symmetric,pe_seq,0.4551626827207929,0.5019791237640282,1.0,0.0
symmetric,cf_only,0.0,0.17555836614052722,1.0,390.6111111111111
symmetric,full_rfl,0.19231125170011507,0.3210972070737871,1.0,96.86666666666666
symmetric,oracle_upper,0.0,0.17555836614052722,1.0,0.0
clean,immediate,0.16992548438815222,0.007495902249016528,0.6666666666666666,0.0
clean,pe_seq,0.3908678051288533,0.4506080169297538,1.0,0.0
clean,cf_only,0.0,0.1768545727556224,1.0,387.02222222222224
clean,full_rfl,0.18563844269650778,0.32758910919024253,1.0,93.04444444444445
clean,oracle_upper,0.0,0.1768545727556224,1.0,0.0
symmetric,immediate,0.5344357585998236,0.4345884511400339,0.6444444444444445,0.0
symmetric,pe_seq,0.47390781879802374,0.5112480268102394,1.0,0.0
symmetric,cf_only,0.0,0.1768545727556224,1.0,387.02222222222224
symmetric,full_rfl,0.19791144233441485,0.3255452845892521,1.0,93.77777777777777
symmetric,oracle_upper,0.0,0.1768545727556224,1.0,0.0
clean,immediate,0.16965573134262707,0.0070088495391931625,0.6666666666666666,0.0
clean,pe_seq,0.3877202397677656,0.446965553636059,1.0,0.0
clean,cf_only,0.0,0.17682203572359712,1.0,389.3
clean,full_rfl,0.18688567612585352,0.32910578055326417,1.0,94.0
clean,oracle_upper,0.0,0.17682203572359712,1.0,0.0
symmetric,immediate,0.5058855472584436,0.39702998867140404,0.6333333333333333,0.0
symmetric,pe_seq,0.45295196310139024,0.493701269240788,1.0,0.0
symmetric,cf_only,0.0,0.17682203572359712,1.0,389.3
symmetric,full_rfl,0.2017743093912302,0.3319503853667593,1.0,100.16666666666667
symmetric,oracle_upper,0.0,0.17682203572359712,1.0,0.0
clean,immediate,0.16920763123091465,0.006336699371624533,0.6666666666666666,0.0
clean,pe_seq,0.38843182391555664,0.4471476018834628,1.0,0.0
clean,cf_only,0.0,0.175842583851779,1.0,388.68888888888887
clean,full_rfl,0.1869086272653223,0.3286283255029556,1.0,94.05555555555556
clean,oracle_upper,0.0,0.175842583851779,1.0,0.0
symmetric,immediate,0.5234794857703251,0.43968121677554467,0.7,0.0
symmetric,pe_seq,0.4522496990845953,0.48992047315325704,1.0,0.0
symmetric,cf_only,0.0,0.175842583851779,1.0,388.68888888888887
symmetric,full_rfl,0.20090660546362643,0.3276448938542761,1.0,93.83333333333333
symmetric,oracle_upper,0.0,0.175842583851779,1.0,0.0
clean,immediate,0.16936864453348932,0.00657735180941757,0.6666666666666666,0.0
clean,pe_seq,0.38935395354056823,0.448355928391336,1.0,0.0
clean,cf_only,0.0,0.17594667200332814,1.0,387.6777777777778
clean,full_rfl,0.18615089081402608,0.3267893709451023,1.0,92.87777777777778
clean,oracle_upper,0.0,0.17594667200332814,1.0,0.0
symmetric,immediate,0.4901584963619695,0.35466980921506724,0.6333333333333333,0.0
symmetric,pe_seq,0.46095585523308064,0.5045029766544492,1.0,0.0
symmetric,cf_only,0.0,0.17594667200332814,1.0,387.6777777777778
symmetric,full_rfl,0.19852495609132773,0.326991884813597,1.0,95.21111111111111
symmetric,oracle_upper,0.0,0.17594667200332814,1.0,0.0
clean,immediate,0.17036441249848022,0.008238452588182187,0.6666666666666666,0.0
clean,pe_seq,0.3880980231002864,0.4490156844152265,1.0,0.0
clean,cf_only,0.0,0.1781690468016818,1.0,388.5888888888889
clean,full_rfl,0.18656234857925733,0.3299557665262458,1.0,94.16666666666667
clean,oracle_upper,0.0,0.1781690468016818,1.0,0.0
symmetric,immediate,0.4237495557164414,0.32927658686050487,0.7,0.0
symmetric,pe_seq,0.4445406858587772,0.4956995390747741,1.0,0.0
symmetric,cf_only,0.0,0.1781690468016818,1.0,388.5888888888889
symmetric,full_rfl,0.19692240531597538,0.32879507309803935,1.0,94.04444444444445
symmetric,oracle_upper,0.0,0.1781690468016818,1.0,0.0
clean,immediate,0.1688814332883473,0.0058465349417045065,0.6666666666666666,0.0
clean,pe_seq,0.39037366591875605,0.44847600707983026,1.0,0.0
clean,cf_only,0.0,0.1751025517814164,1.0,387.6111111111111
clean,full_rfl,0.18661739416810075,0.32672184258440545,1.0,92.82222222222222
clean,oracle_upper,0.0,0.1751025517814164,1.0,0.0
symmetric,immediate,0.47221931017593277,0.31163030741671477,0.6111111111111112,0.0
symmetric,pe_seq,0.4514040438251688,0.49825065384401035,1.0,0.0
symmetric,cf_only,0.0,0.1751025517814164,1.0,387.6111111111111
symmetric,full_rfl,0.19604923680766767,0.3248964073896625,1.0,91.74444444444444
symmetric,oracle_upper,0.0,0.1751025517814164,1.0,0.0
clean,immediate,0.1696127223861308,0.006944336104448767,0.6666666666666666,0.0
clean,pe_seq,0.3908306444602731,0.44988259759355514,1.0,0.0
clean,cf_only,0.0,0.17630526034291996,1.0,387.7111111111111
clean,full_rfl,0.1864195818177706,0.32900185511708585,1.0,94.75555555555556
clean,oracle_upper,0.0,0.17630526034291996,1.0,0.0
symmetric,immediate,0.5060340320936051,0.37107047613589517,0.6333333333333333,0.0
symmetric,pe_seq,0.4495476314111487,0.492863199075546,1.0,0.0
symmetric,cf_only,0.0,0.17630526034291996,1.0,387.7111111111111
symmetric,full_rfl,0.20046994526721648,0.3310147529117813,1.0,95.74444444444444
symmetric,oracle_upper,0.0,0.17630526034291996,1.0,0.0
clean,immediate,0.16994007701679012,0.007434500534368793,0.6666666666666666,0.0
clean,pe_seq,0.3903961427335705,0.44999447534290543,1.0,0.0
clean,cf_only,0.0,0.17704413572519057,1.0,387.7
clean,full_rfl,0.18621990502596347,0.32733801236536086,1.0,93.41111111111111
clean,oracle_upper,0.0,0.17704413572519057,1.0,0.0
symmetric,immediate,0.5010150881279752,0.38638618956830545,0.6666666666666666,0.0
symmetric,pe_seq,0.4836025947464243,0.5140350833506037,1.0,0.0
symmetric,cf_only,0.0,0.17704413572519057,1.0,387.7
symmetric,full_rfl,0.1965672004232109,0.3197432021830986,1.0,90.7
symmetric,oracle_upper,0.0,0.17704413572519057,1.0,0.0
clean,immediate,0.16924789905243626,0.006395366071768965,0.6666666666666666,0.0
clean,pe_seq,0.3903928444896127,0.4490514979224965,1.0,0.0
clean,cf_only,0.0,0.17570609551378064,1.0,387.05555555555554
clean,full_rfl,0.18600960563438354,0.32498717350013967,1.0,91.58888888888889
clean,oracle_upper,0.0,0.17570609551378064,1.0,0.0
symmetric,immediate,0.4348353591920993,0.3444370685555027,0.7333333333333333,0.0
symmetric,pe_seq,0.4804184534361449,0.5140071397991842,1.0,0.0
symmetric,cf_only,0.0,0.17570609551378064,1.0,387.05555555555554
symmetric,full_rfl,0.20123383982545334,0.32706525421308374,1.0,89.93333333333334
symmetric,oracle_upper,0.0,0.17570609551378064,1.0,0.0
clean,immediate,0.17031161966932684,0.007991814513173845,0.6666666666666666,0.0
clean,pe_seq,0.391390543736171,0.4516928995435549,1.0,0.0
clean,cf_only,0.0,0.17730675465668047,1.0,386.6666666666667
clean,full_rfl,0.1858866267888809,0.3280098791976715,1.0,93.1
clean,oracle_upper,0.0,0.17730675465668047,1.0,0.0
symmetric,immediate,0.45697625228112393,0.3203840156426086,0.6333333333333333,0.0
symmetric,pe_seq,0.44711544360348554,0.4949796994413798,1.0,0.0
symmetric,cf_only,0.0,0.17730675465668047,1.0,386.6666666666667
symmetric,full_rfl,0.19591236861907774,0.32516541239509783,1.0,91.28888888888889
symmetric,oracle_upper,0.0,0.17730675465668047,1.0,0.0
clean,immediate,0.16944903388215657,0.006697935832418439,0.6666666666666666,0.0
clean,pe_seq,0.38866430569179244,0.44779855159637333,1.0,0.0
clean,cf_only,0.0,0.1764317602234676,1.0,388.47777777777776
clean,full_rfl,0.1866107310814304,0.3267499461800108,1.0,93.24444444444444
clean,oracle_upper,0.0,0.1764317602234676,1.0,0.0
symmetric,immediate,0.44515294198946614,0.3386840061477303,0.6777777777777778,0.0
symmetric,pe_seq,0.4640501155598851,0.5051921021394314,1.0,0.0
symmetric,cf_only,0.0,0.1764317602234676,1.0,388.47777777777776
symmetric,full_rfl,0.19753844069560691,0.32509020785044174,1.0,94.24444444444444
symmetric,oracle_upper,0.0,0.1764317602234676,1.0,0.0
clean,immediate,0.16951990749063361,0.006888404418807637,0.6666666666666666,0.0
clean,pe_seq,0.38892683165012576,0.4485566374435661,1.0,0.0
clean,cf_only,0.0,0.17638636067316457,1.0,388.2111111111111
clean,full_rfl,0.18658510792329672,0.3291068145953385,1.0,94.16666666666667
clean,oracle_upper,0.0,0.17638636067316457,1.0,0.0
symmetric,immediate,0.517425247329454,0.3831720941519614,0.6,0.0
symmetric,pe_seq,0.4717427731073394,0.5110915181654476,1.0,0.0
symmetric,cf_only,0.0,0.17638636067316457,1.0,388.2111111111111
symmetric,full_rfl,0.1976830641472733,0.32870648718102885,1.0,92.93333333333334
symmetric,oracle_upper,0.0,0.17638636067316457,1.0,0.0
