seed,algorithm,n,ae_mean,wur_mean,f1_mean,ckd_mean,wkr_mean,actual_wur_mean,cf_transitions_mean
2,standard,40,,,0.0,0.0,0.0,,0.0
3,cf_only,40,0.0,0.25898211759067535,0.9999999999999998,0.04202242621453121,0.04202242621453121,0.25898211759067535,329.875
3,er5,40,0.7427306442268897,0.8254909419678973,0.1308863605796669,0.10456766376326605,0.10456766376326605,0.8254909419678973,0.0
3,full_rfl,40,0.27714912245717016,0.3682768827803696,0.612608830486635,0.02471027833945946,0.02471027833945946,0.3682768827803696,80.925
3,full_rfl_cfcritical,40,0.27714912245717016,0.3682768827803701,0.6126088304866347,0.023775815693937184,0.023775815693937184,0.3682768827803701,80.925
3,immediate,40,0.7427306442268897,0.8254909419678973,0.1308863605796669,0.10456766376326605,0.10456766376326605,0.8254909419678973,0.0
3,oracle_update,40,0.0,0.25898211759067535,0.9999999999999998,0.04202242621453121,0.04202242621453121,0.25898211759067535,0.0
3,pe_seq,40,0.4803382442158949,0.5972373223590185,0.5156753848011195,0.062440324984421494,0.062440324984421494,0.5972373223590185,0.0
3,rfl_observe,40,0.27714912245717016,,0.0,0.0,0.0,,80.925
3,standard,40,,,0.0,0.0,0.0,,0.0
4,cf_only,40,0.0,0.2578769127407952,0.9999999999999998,0.041854747912558346,0.041854747912558346,0.2578769127407952,327.425
4,er5,40,0.7437367140404036,0.8268323683859158,0.1298848578217428,0.10456766376326605,0.10456766376326605,0.8268323683859158,0.0
4,full_rfl,40,0.2782256418214458,0.37774562312260035,0.6084142093754649,0.024649994023144887,0.024649994023144887,0.37774562312260035,86.375
4,full_rfl_cfcritical,40,0.2782256418214458,0.37774562312260007,0.6084142093754649,0.02390210889744241,0.02390210889744241,0.37774562312260007,86.375
4,immediate,40,0.7437367140404036,0.8268323683859158,0.1298848578217428,0.10456766376326605,0.10456766376326605,0.8268323683859158,0.0
4,oracle_update,40,0.0,0.2578769127407952,0.9999999999999998,0.041854747912558346,0.041854747912558346,0.2578769127407952,0.0
4,pe_seq,40,0.4830537357578256,0.6010329384421711,0.5124099439698997,0.06304241747036934,0.06304241747036934,0.6010329384421711,0.0
4,rfl_observe,40,0.2782256418214458,,0.0,0.0,0.0,,86.375
4,standard,40,,,0.0,0.0,0.0,,0.0
5,cf_only,40,0.0,0.25731704543235956,0.9999999999999998,0.04185424631229677,0.04185424631229677,0.25731704543235956,327.65
5,er5,40,0.7437423261901851,0.8268381162201532,0.12987750224233827,0.10456766376326605,0.10456766376326605,0.8268381162201532,0.0
5,full_rfl,40,0.27766380324667844,0.37252176936155634,0.6104760650242125,0.024674109215441886,0.024674109215441886,0.37252176936155634,83.825
5,full_rfl_cfcritical,40,0.27766380324667844,0.3725217693615564,0.6104760650242125,0.023855228177729768,0.023855228177729768,0.3725217693615564,83.825
5,immediate,40,0.7437423261901851,0.8268381162201532,0.12987750224233827,0.10456766376326605,0.10456766376326605,0.8268381162201532,0.0
5,oracle_update,40,0.0,0.25731704543235956,0.9999999999999998,0.04185424631229677,0.04185424631229677,0.25731704543235956,0.0
5,pe_seq,40,0.4806323722847708,0.5965984212634553,0.5151922585397751,0.06231926422446441,0.06231926422446441,0.5965984212634553,0.0
5,rfl_observe,40,0.27766380324667844,,0.0,0.0,0.0,,83.825
5,standard,40,,,0.0,0.0,0.0,,0.0
6,cf_only,40,0.0,0.2591802480235114,0.9999999999999998,0.042075515596779245,0.042075515596779245,0.2591802480235114,329.475
6,er5,40,0.7426619799056845,0.8252328082244144,0.1310799608872791,0.10456766376326605,0.10456766376326605,0.8252328082244144,0.0
6,full_rfl,40,0.2802270822666503,0.3789632673455422,0.6067006315164986,0.0247848439353101,0.0247848439353101,0.3789632673455422,87.025
6,full_rfl_cfcritical,40,0.2802270822666503,0.37896326734554286,0.6067006315164984,0.024077167837048497,0.024077167837048497,0.37896326734554286,87.025
6,immediate,40,0.7426619799056845,0.8252328082244144,0.1310799608872791,0.10456766376326605,0.10456766376326605,0.8252328082244144,0.0
6,oracle_update,40,0.0,0.2591802480235114,0.9999999999999998,0.042075515596779245,0.042075515596779245,0.2591802480235114,0.0
6,pe_seq,40,0.47811668352364134,0.5953727712929451,0.5182004688045088,0.06244042440717866,0.06244042440717866,0.5953727712929451,0.0
6,rfl_observe,40,0.2802270822666503,,0.0,0.0,0.0,,87.025
6,standard,40,,,0.0,0.0,0.0,,0.0
7,cf_only,40,0.0,0.2563741318755115,0.9999999999999998,0.04182899642367077,0.04182899642367077,0.2563741318755115,329.175
7,er5,40,0.7441410949468005,0.8272049616125691,0.1296008458461631,0.10456766376326605,0.10456766376326605,0.8272049616125691,0.0
7,full_rfl,40,0.28046920329576064,0.38194235896947903,0.6051150283581912,0.02469504785254935,0.02469504785254935,0.38194235896947903,89.875
7,full_rfl_cfcritical,40,0.28046920329576064,0.3819423589694782,0.6051150283581913,0.024076709394834698,0.024076709394834698,0.3819423589694782,89.875
7,immediate,40,0.7441410949468005,0.8272049616125691,0.1296008458461631,0.10456766376326605,0.10456766376326605,0.8272049616125691,0.0
7,oracle_update,40,0.0,0.2563741318755115,0.9999999999999998,0.04182899642367077,0.04182899642367077,0.2563741318755115,0.0
7,pe_seq,40,0.47995040479505197,0.5959602489580784,0.5164106401434122,0.0626074515714247,0.0626074515714247,0.5959602489580784,0.0
7,rfl_observe,40,0.28046920329576064,,0.0,0.0,0.0,,89.875
7,standard,40,,,0.0,0.0,0.0,,0.0
8,cf_only,40,0.0,0.25691412770289,0.9999999999999998,0.041874492858007095,0.041874492858007095,0.25691412770289,329.45
8,er5,40,0.7438681163403276,0.8268409901372719,0.129873824452636,0.10456766376326605,0.10456766376326605,0.8268409901372719,0.0
8,full_rfl,40,0.27889224270769425,0.37722852537188845,0.6080164958856927,0.024654967727983267,0.024654967727983267,0.37722852537188845,86.9
8,full_rfl_cfcritical,40,0.27889224270769425,0.3772285253718878,0.6080164958856928,0.023933577851019867,0.023933577851019867,0.3772285253718878,86.9
8,immediate,40,0.7438681163403276,0.8268409901372719,0.129873824452636,0.10456766376326605,0.10456766376326605,0.8268409901372719,0.0
8,oracle_update,40,0.0,0.25691412770289,0.9999999999999998,0.041874492858007095,0.041874492858007095,0.25691412770289,0.0
8,pe_seq,40,0.4794086316994429,0.5953409811337902,0.5164833018639294,0.06231639093149879,0.06231639093149879,0.5953409811337902,0.0
8,rfl_observe,40,0.27889224270769425,,0.0,0.0,0.0,,86.9
8,standard,40,,,0.0,0.0,0.0,,0.0
9,cf_only,40,0.0,0.25609484885834544,0.9999999999999998,0.04182863718403154,0.04182863718403154,0.25609484885834544,329.85
9,er5,40,0.7441432503846395,0.8272078355296877,0.12959716805646082,0.10456766376326605,0.10456766376326605,0.8272078355296877,0.0
9,full_rfl,40,0.27921394323625814,0.3722811559060323,0.6092393427271903,0.024832485796043555,0.024832485796043555,0.3722811559060323,83.75
9,full_rfl_cfcritical,40,0.27921394323625814,0.3722811559060314,0.6092393427271905,0.024044781999043443,0.024044781999043443,0.3722811559060314,83.75
9,immediate,40,0.7441432503846395,0.8272078355296877,0.12959716805646082,0.10456766376326605,0.10456766376326605,0.8272078355296877,0.0
9,oracle_update,40,0.0,0.25609484885834544,0.9999999999999998,0.04182863718403154,0.04182863718403154,0.25609484885834544,0.0
9,pe_seq,40,0.47810528875470604,0.5929771356228504,0.518533385602664,0.06215862552073962,0.06215862552073962,0.5929771356228504,0.0
9,rfl_observe,40,0.27921394323625814,,0.0,0.0,0.0,,83.75
9,standard,40,,,0.0,0.0,0.0,,0.0
10,cf_only,40,0.0,0.25695660983086344,0.9999999999999998,0.04190661721526634,0.04190661721526634,0.25695660983086344,328.55
10,er5,40,0.7436779727446579,0.8265857303109075,0.13006374697054593,0.10456766376326605,0.10456766376326605,0.8265857303109075,0.0
10,full_rfl,40,0.27220470398828667,0.36416558555496004,0.6274876121299627,0.02638945705411753,0.02638945705411753,0.36416558555496004,83.775
10,full_rfl_cfcritical,40,0.27220470398828667,0.36416558555496,0.6274876121299627,0.024219195517342453,0.024219195517342453,0.36416558555496,83.775
10,immediate,40,0.7436779727446579,0.8265857303109075,0.13006374697054593,0.10456766376326605,0.10456766376326605,0.8265857303109075,0.0
10,oracle_update,40,0.0,0.25695660983086344,0.9999999999999998,0.04190661721526634,0.04190661721526634,0.25695660983086344,0.0
10,pe_seq,40,0.4805726146318904,0.5955205739948087,0.5154025409370925,0.06207478876697483,0.06207478876697483,0.5955205739948087,0.0
10,rfl_observe,40,0.27220470398828667,,0.0,0.0,0.0,,83.775
10,standard,40,,,0.0,0.0,0.0,,0.0
11,cf_only,40,0.0,0.25691412770289,0.9999999999999998,0.041874492858007095,0.041874492858007095,0.25691412770289,329.45
11,er5,40,0.7438681163403276,0.8268409901372719,0.129873824452636,0.10456766376326605,0.10456766376326605,0.8268409901372719,0.0
11,full_rfl,40,0.27818086986682494,0.3720780891006245,0.6102873439243137,0.024691639000309306,0.024691639000309306,0.3720780891006245,83.75
11,full_rfl_cfcritical,40,0.27818086986682494,0.37207808910062384,0.6102873439243138,0.023870504212304695,0.023870504212304695,0.37207808910062384,83.75
11,immediate,40,0.7438681163403276,0.8268409901372719,0.129873824452636,0.10456766376326605,0.10456766376326605,0.8268409901372719,0.0
11,oracle_update,40,0.0,0.25691412770289,0.9999999999999998,0.041874492858007095,0.041874492858007095,0.25691412770289,0.0
11,pe_seq,40,0.48013485389594635,0.5956331095398089,0.5162009849651368,0.06233470584169053,0.06233470584169053,0.5956331095398089,0.0
11,rfl_observe,40,0.27818086986682494,,0.0,0.0,0.0,,83.75
11,standard,40,,,0.0,0.0,0.0,,0.0
